Sample#,Grain#,Mineral Identification,Mineral,TiO2,Cr2O3,FeO,MgO,CaO,SiO2,Al2O3,Na2O,MnO,Total,NiO,ZnO
NAT96-196,51,PICRO_CHROMITE  ,Chromite,0.22,54.25,20.38,12.77,0,0,11.24,0,0.35,99.37,0.09,0.09
NAT96-185,25,SUB_PICRO_CHROMITE  ,Chromite,3.08,35.98,30.22,13.91,0.01,0,15.65,0,0.28,99.37,0.19,0.04
NAT95-139,103,SPINEL  ,Chromite,0,0.06,3.53,24.05,0,0,71.6,0,0.09,99.33,,
NAT96-199,20,PICRO_CHROMITE  ,Chromite,0.04,61.2,16.84,13.8,0.01,0,6.93,0,0.27,99.29,0.07,0.12
NAT96-210,62,PICRO_CHROMITE  ,Chromite,0.12,51.08,25.32,8.73,0.01,0,13.26,0,0.43,99.28,0.05,0.27
NAT96-199,55,PICRO_CHROMITE  ,Chromite,0.21,43.81,26.02,10.43,0.02,0,18.09,0,0.35,99.27,0.07,0.23
NAT96-189,33,PICRO_CHROMITE  ,Chromite,0.04,42.2,25.3,10.86,0.04,0,19.87,0,0.27,99.24,0.14,0.45
NAT96-196,39,PICRO_CHROMITE  ,Chromite,0.12,60,21.7,10.18,0,0,6.71,0,0.32,99.24,0.03,0.16
NAT96-196,44,PICRO_CHROMITE  ,Chromite,0.45,55.37,20.57,14.37,0.01,0,8.05,0,0.22,99.24,0.13,0.06
NAT97-220,19,SUB_PICRO_CHROMITE  ,Chromite,0.21,34.38,12.48,19.13,0,0.05,32.48,,0.15,99.22,0.22,0.12
NAT96-179,10,PICRO_CHROMITE  ,Chromite,1.31,41.81,24.49,14.59,0,0,16.48,0,0.23,99.21,0.23,0.04
NAT96-196,43,PICRO_CHROMITE  ,Chromite,0.27,58.05,23.69,10.55,0,0,5.99,0,0.38,99.17,0.13,0.09
NAT96-211,63,CHROMITE  ,Chromite,0.06,42.2,29.04,5.76,0,0,20.74,0,0.22,99.16,0.1,1
NAT95-126,28,SPINEL  ,Chromite,0.07,0.12,6.49,22.24,0.01,0,70.1,0,0.13,99.16,,
NAT95-130,44,SPINEL  ,Chromite,0,0.01,4.29,23.89,0,0,70.9,0,0.07,99.16,,
NAT96-185,27,SUB_PICRO_CHROMITE  ,Chromite,1.39,39.68,20.99,16.24,0.01,0,20.29,0,0.23,99.12,0.21,0.03
NAT96-189,32,PICRO_CHROMITE  ,Chromite,2.03,40.56,26.67,13.52,0.01,0,15.8,0,0.2,99.1,0.22,0.08
NAT96-173,1,SUB_PICRO_CHROMITE  ,Chromite,0.5,25.68,26.78,14.62,0.01,0.03,30.91,0,0.24,99.1,0.22,0.12
NAT96-173,20,PICRO_CHROMITE  ,Chromite,1.53,44.71,22.94,14.43,0,0,15.01,0,0.25,99.09,0.17,0.03
NAT95-132,53,SPINEL  ,Chromite,0.07,0.04,4.61,22.82,0.01,0.01,71.43,0.02,0.08,99.09,,
NAT96-175,5,SUB_PICRO_CHROMITE  ,Chromite,2.36,36.48,28.14,14.06,0.07,0.07,17.43,0,0.22,99.09,0.19,0.07
NAT96-196,17,PICRO_CHROMITE  ,Chromite,0.6,53.77,20.92,14.11,0.03,0.09,9.14,0,0.26,99.08,0.1,0.07
NAT96-196,19,PICRO_CHROMITE  ,Chromite,0.65,54.37,19.96,15.72,0,0.06,7.88,0,0.22,99.07,0.17,0.03
NAT96-186,29,PICRO_CHROMITE  ,Chromite,0.31,51.24,26.71,10.33,0,0,9.87,0,0.33,99.06,0.09,0.17
NAT97-219,15,SUB_PICRO_CHROMITE  ,Chromite,0.01,35.03,18.47,15.31,0,0,29.8,,0.16,99.06,0.13,0.14
NAT96-184,24,PICRO_CHROMITE  ,Chromite,0.43,48.3,24.98,16.18,0,0,8.61,0,0.21,98.98,0.2,0.03
NAT96-216,1,PICRO_CHROMITE  ,Chromite,0.08,53,20.82,13.08,0,0,11.45,0,0.28,98.98,,
NAT96-179,7,PICRO_CHROMITE  ,Chromite,0.97,43.31,20.93,16.52,0,0,16.74,0,0.21,98.96,0.24,0.04
NAT97-219,16,PICRO_CHROMITE  ,Chromite,0.05,51.53,20.71,11.08,0.05,0,15.05,,0.27,98.9,0.03,0.14
NAT97-169,5,PICRO_CHROMITE  ,Chromite,0.43,51.86,24.32,10.79,0.02,0.03,10.83,,0.35,98.89,0.05,0.21
NAT96-179,11,PICRO_CHROMITE  ,Chromite,0.06,47.19,21.81,11.68,0.01,0,17.52,0,0.27,98.86,0.06,0.26
NAT96-180,7,PICRO_CHROMITE  ,Chromite,0.03,43.85,17.08,15.67,0,0.03,21.77,0,0.2,98.86,0.12,0.11
NAT97-220,18,SUB_PICRO_CHROMITE  ,Chromite,0.24,37.55,22.95,12.27,0,0,25.25,,0.26,98.85,0.11,0.21
NAT96-184,22,PICRO_CHROMITE  ,Chromite,0.02,63.84,21.89,8.63,0,0,3.81,0,0.38,98.83,0.02,0.17
NAT96-185,26,PICRO_CHROMITE  ,Chromite,1.44,43.08,20.56,16.14,0,0,17.1,0,0.2,98.83,0.26,0.05
NAT96-173,18,PICRO_CHROMITE  ,Chromite,0.46,47.26,25.28,17.8,0.02,0,7.52,0,0.18,98.8,0.26,0.02
NAT96-196,16,PICRO_CHROMITE  ,Chromite,0.32,55.77,17.26,16.23,0,0.06,8.67,0,0.24,98.73,0.13,0.03
NAT96-213,66,PICRO_CHROMITE  ,Chromite,1.17,45.81,19.06,16.49,0,0,15.77,0,0.19,98.72,0.22,0.01
NAT96-177,6,SUB_PICRO_CHROMITE  ,Chromite,0.16,32.77,21.84,15.49,0,0,27.91,0,0.24,98.71,0.17,0.13
NAT97-219,13,PICRO_CHROMITE  ,Chromite,1.73,41.56,28.13,12.49,0,0,14.33,,0.23,98.67,0.19,0.02
NAT96-173,3,PICRO_CHROMITE  ,Chromite,0.06,58.83,19.46,11.12,0.02,0.04,8.59,0,0.32,98.58,0.03,0.1
NAT96-187,31,SUB_PICRO_CHROMITE  ,Chromite,0.47,34.22,19.32,16.21,0.01,0,27.85,0,0.21,98.52,0.15,0.06
NAT95-137,95,SPINEL  ,Chromite,0,0.07,3.86,24.06,0,0.01,70.42,0.01,0.1,98.51,,
NAT96-186,28,SUB_PICRO_CHROMITE  ,Chromite,0.83,34.91,19.98,16.27,0,0,26.01,0,0.2,98.48,0.22,0.06
NAT96-173,19,SUB_PICRO_CHROMITE  ,Chromite,0.72,34.47,38.16,15.38,0.01,0,9.1,0,0.21,98.46,0.35,0.02
NAT96-196,46,PICRO_CHROMITE  ,Chromite,0.72,47.17,25.66,12.1,0,0,12.2,0,0.4,98.44,0.09,0.07
NAT96-195,36,CHROMITE  ,Chromite,0.12,53.28,29.99,4.97,0,0,9.53,0,0.23,98.41,0.05,0.22
NAT96-179,9,SUB_PICRO_CHROMITE  ,Chromite,0.44,43.01,34.34,6.12,0,0,13.56,0,0.46,98.41,0.09,0.35
NAT95-146,126,SPINEL  ,Chromite,0.02,0.05,4.85,22.56,0.02,0.02,70.81,0.01,0.02,98.37,,
NAT96-196,38,PICRO_CHROMITE  ,Chromite,1.12,45.62,24.79,12.48,0.01,0,13.74,0,0.28,98.36,0.19,0.09
NAT97-219,14,PICRO_CHROMITE  ,Chromite,0.46,41.74,22.11,14.08,0.06,0.01,19.48,,0.21,98.36,0.13,0.08
NAT96-175,14,PICRO_CHROMITE  ,Chromite,2.05,40.66,26.17,13.86,0.02,0,15.02,0,0.28,98.35,0.23,0.06
NAT96-179,8,PICRO_CHROMITE  ,Chromite,1.77,45.96,23.45,13.87,0,0,12.78,0,0.24,98.34,0.19,0.08
NAT97-219,10,PICRO_CHROMITE  ,Chromite,0.12,55.37,22.77,10.56,0.01,0,8.93,,0.32,98.28,0.06,0.12
NAT96-181,4,PICRO_CHROMITE  ,Chromite,0.21,43.8,20.95,14.23,0,0,18.62,0,0.22,98.25,0.16,0.06
NAT96-196,18,PICRO_CHROMITE  ,Chromite,0,53.92,26.96,8.2,0,0.01,8.37,0,0.4,98.21,0.06,0.29
NAT96-201,60,SUB_PICRO_CHROMITE  ,Chromite,0.41,49.95,31.34,7.07,0,0,8.35,0,0.6,98.18,0.09,0.37
NAT96-196,14,PICRO_CHROMITE  ,Chromite,0.21,57.43,23.2,11.49,0,0,5.36,0,0.3,98.15,0.08,0.09
NAT96-178,13,PICRO_CHROMITE  ,Chromite,1.38,40.54,24.63,13.82,0.01,0,17.17,0,0.23,98.14,0.25,0.07
NAT97-220,17,PICRO_CHROMITE  ,Chromite,0.02,50.78,18.18,13.64,0.01,0.03,14.98,,0.3,98.14,0.08,0.12
NAT96-187,30,PICRO_CHROMITE  ,Chromite,0.58,44.97,30.1,13.37,0.01,0,8.59,0,0.25,98.09,0.18,0.03
NAT96-181,3,PICRO_CHROMITE  ,Chromite,0.15,52.2,23.37,10.66,0,0,11.08,0,0.34,98.03,0.05,0.14
NAT96-188,12,PICRO_CHROMITE  ,Chromite,0.02,42.66,22.55,13.68,0,0,18.54,0,0.29,98.01,0.12,0.15
NAT96-179,5,PICRO_CHROMITE  ,Chromite,1.35,40.27,26.43,12.43,0,0,16.75,0,0.25,97.97,0.12,0.07
NAT96-173,21,PICRO_CHROMITE  ,Chromite,0.26,44,20.16,12.98,0,0,20.1,0,0.27,97.96,0.07,0.13
NAT96-179,6,PICRO_CHROMITE  ,Chromite,0.27,47.25,33.25,8.45,0.01,0,7.78,0,0.52,97.88,0.12,0.22
NAT96-199,54,SUB_PICRO_CHROMITE  ,Chromite,1.15,37.33,39.79,7.98,0,0,10.86,0,0.45,97.87,0.17,0.11
NAT96-216,2,PICRO_CHROMITE  ,Chromite,0.78,54.97,25.42,10.53,0,0,5.54,0,0.34,97.85,,
NAT96-196,40,PICRO_CHROMITE  ,Chromite,0.29,58.03,19.36,13.33,0,0,6.32,0,0.28,97.83,0.11,0.06
NAT95-136,92,SPINEL  ,Chromite,0.01,0.04,5.79,21.72,0.08,0,70.16,0,0.04,97.83,,
NAT96-184,23,CHROMITE  ,Chromite,0.63,46.88,30.52,1.29,0,0,6.14,0,7.26,97.8,0.03,5.03
NAT96-175,4,PICRO_CHROMITE  ,Chromite,0.02,44.32,18.67,13.41,0.01,0,20.78,0,0.31,97.79,0.06,0.21
NAT96-199,57,SUB_PICRO_CHROMITE  ,Chromite,0.9,34.55,37.11,14.82,0.09,0,9.6,0,0.26,97.71,0.26,0.08
NAT96-211,65,PICRO_CHROMITE  ,Chromite,0.33,45.18,24.9,9.77,0,0,16.83,0,0.25,97.68,0.12,0.22
NAT96-175,15,SUB_PICRO_CHROMITE  ,Chromite,1.79,37.39,33.05,8.41,0,0,16.22,0,0.38,97.61,0.21,0.13
NAT96-196,15,PICRO_CHROMITE  ,Chromite,0.31,50.79,21.86,12.47,0.01,0,11.54,0,0.33,97.53,0.1,0.13
NAT95-126,19,SPINEL  ,Chromite,0.01,0.02,4.77,21.14,0,0.01,71.45,0,0.1,97.53,,
NAT96-174,16,SUB_PICRO_CHROMITE  ,Chromite,0.46,39.52,34.85,14.4,0.02,0,7.57,0,0.25,97.39,0.23,0.05
NAT97-219,12,PICRO_CHROMITE  ,Chromite,0.56,43.92,33.88,10.83,0,0,7.54,,0.35,97.35,0.16,0.12
NAT97-167,22,PICRO_CHROMITE  ,Chromite,0.3,53.17,25.48,8.07,0.01,0,9.62,,0.38,97.21,0.07,0.11
NAT97-168,23,PICRO_CHROMITE  ,Chromite,0.15,56.25,26.35,9.56,0,0,4.19,,0.29,97.09,0.11,0.2
LEL94-1,550,SPINEL  ,Chromite,0.02,0,4.93,21.86,0.03,0,70.13,0,0.06,97.03,,
NAT97-219,11,CHROMITE  ,Chromite,0.05,43.51,41.47,5.38,0,0,5.25,,0.53,96.52,0.17,0.16
NAT97-218,9,PICRO_CHROMITE  ,Chromite,1.7,42.64,24.78,12.29,0,0.02,14.37,,0.31,96.35,0.15,0.08
NAT95-124,12,SPINEL_MAGNETITE-SERIES  ,Chromite,0.16,0.03,60.73,0.38,0.28,10.7,4.83,0.01,0.14,77.42,,
LEL94-4,562,SPINEL_MAGNETITE-SERIES  ,Chromite,0.07,0.05,69.84,0.26,0.15,1.84,0.66,0,0.34,73.2,,
NAT95-132,27,GAHNITE  SPINEL,Chromite,0,0.03,9.88,2.53,0.01,0,53.24,0,0.49,66.17,,
NAT95-126,15,GAHNITE  SPINEL,Chromite,0,0.02,8.82,2.26,0,0,52.95,0,0.57,64.62,,
NAT95-139,42,GAHNITE  SPINEL,Chromite,0,0.01,12.13,0.1,0,0,50.49,0,0.37,63.1,,
NAT95-138,37,GAHNITE  SPINEL,Chromite,0,0.02,8.23,2.28,0,0.02,51.85,0,0.56,62.96,,
SB94-11&12,535,GAHNITE  SPINEL,Chromite,0,0,9.06,0.05,0,0,49.65,0,0.25,59.02,,
